Iteration,%TrainingInstances,Classifier,Feature Selection,Sampling,Cost Sensitive,Precision,Recall,AUC,Kappa,TP,FP,TN,FN,Cost
7,81.73719376391982,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.14285714285714285,0.5,0.7588141025641025,0.15835777126099665,4.0,24.0,132.0,4.0,64.0
7,81.73719376391982,IBk,BestFirst(backward),none,SensitiveThreshold,0.14285714285714285,0.375,0.7852564102564102,0.1466063348416286,3.0,18.0,138.0,5.0,68.0
7,81.73719376391982,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.3,0.375,0.7311698717948718,0.29512893982808047,3.0,7.0,149.0,5.0,57.0
8,71.42857142857143,RandomForest,none,none,none,0.0,0.0,0.569718567251462,-0.03560302625723184,0.0,10.0,332.0,16.0,170.0
8,71.42857142857143,IBk,none,none,none,0.05,0.0625,0.6731542397660819,0.006205094709340862,1.0,19.0,323.0,15.0,169.0
8,71.42857142857143,NaiveBayes,none,none,none,0.13636363636363635,0.375,0.8236476608187134,0.1438820247110405,6.0,38.0,304.0,10.0,138.0
8,71.42857142857143,RandomForest,BestFirst(backward),none,none,0.1111111111111111,0.0625,0.6368786549707602,0.049411221426921496,1.0,8.0,334.0,15.0,158.0
8,71.42857142857143,IBk,BestFirst(backward),none,none,0.08333333333333333,0.125,0.6774488304093568,0.04899645808736671,2.0,22.0,320.0,14.0,162.0
8,71.42857142857143,NaiveBayes,BestFirst(backward),none,none,0.25,0.375,0.7546600877192983,0.2603305785123961,6.0,18.0,324.0,10.0,118.0
8,71.42857142857143,RandomForest,none,SMOTE,none,0.0,0.0,0.6001461988304093,-0.04678362573099492,0.0,16.0,326.0,16.0,176.0
8,71.42857142857143,IBk,none,SMOTE,none,0.038461538461538464,0.0625,0.6572551169590644,-0.008166713601802416,1.0,25.0,317.0,15.0,175.0
8,71.42857142857143,NaiveBayes,none,SMOTE,none,0.14634146341463414,0.375,0.8181652046783626,0.15627945951607813,6.0,35.0,307.0,10.0,135.0
8,71.42857142857143,RandomForest,none,none,SensitiveThreshold,0.037037037037037035,0.0625,0.5940241228070176,-0.01018582243633881,1.0,26.0,316.0,15.0,176.0
8,71.42857142857143,IBk,none,none,SensitiveThreshold,0.041666666666666664,0.0625,0.6731542397660819,-0.0038370720188911573,1.0,23.0,319.0,15.0,173.0
8,71.42857142857143,NaiveBayes,none,none,SensitiveThreshold,0.12727272727272726,0.4375,0.8233735380116959,0.13745878772508283,7.0,48.0,294.0,9.0,138.0
8,71.42857142857143,RandomForest,BestFirst(backward),SMOTE,none,0.0,0.0,0.6590826023391813,-0.0377925703242432,0.0,11.0,331.0,16.0,171.0
8,71.42857142857143,IBk,BestFirst(backward),SMOTE,none,0.08,0.125,0.6994700292397661,0.0455397031272512,2.0,23.0,319.0,14.0,163.0
8,71.42857142857143,NaiveBayes,BestFirst(backward),SMOTE,none,0.23076923076923078,0.1875,0.7693713450292398,0.17379088902267714,3.0,10.0,332.0,13.0,140.0
8,71.42857142857143,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.0967741935483871,0.1875,0.668859649122807,0.07300745231779739,3.0,28.0,314.0,13.0,158.0
8,71.42857142857143,IBk,BestFirst(backward),none,SensitiveThreshold,0.07142857142857142,0.125,0.6774488304093568,0.036079698438341544,2.0,26.0,316.0,14.0,166.0
8,71.42857142857143,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.16,0.5,0.7546600877192983,0.187397857272562,8.0,42.0,300.0,8.0,122.0
9,85.58847077662129,RandomForest,none,none,none,0.375,0.16666666666666666,0.6805555555555556,0.18032786885245855,3.0,5.0,157.0,15.0,155.0
9,85.58847077662129,IBk,none,none,none,0.25,0.2222222222222222,0.6107681755829903,0.15584415584415556,4.0,12.0,150.0,14.0,152.0
9,85.58847077662129,NaiveBayes,none,none,none,0.0,0.0,0.6376886145404664,-0.010638297872339962,0.0,1.0,161.0,18.0,181.0
9,85.58847077662129,RandomForest,BestFirst(backward),none,none,0.3,0.16666666666666666,0.706275720164609,0.15384615384615402,3.0,7.0,155.0,15.0,157.0
9,85.58847077662129,IBk,BestFirst(backward),none,none,0.26666666666666666,0.2222222222222222,0.6129972565157751,0.16666666666666677,4.0,11.0,151.0,14.0,151.0
9,85.58847077662129,NaiveBayes,BestFirst(backward),none,none,0.5,0.05555555555555555,0.6575788751714677,0.08163265306122498,1.0,1.0,161.0,17.0,171.0
9,85.58847077662129,RandomForest,none,SMOTE,none,0.3333333333333333,0.2222222222222222,0.6800411522633745,0.20289855072463756,4.0,8.0,154.0,14.0,148.0
9,85.58847077662129,IBk,none,SMOTE,none,0.21052631578947367,0.2222222222222222,0.6008230452674898,0.12650602409638548,4.0,15.0,147.0,14.0,155.0
9,85.58847077662129,NaiveBayes,none,SMOTE,none,0.0,0.0,0.6622085048010974,-0.010638297872339962,0.0,1.0,161.0,18.0,181.0
9,85.58847077662129,RandomForest,none,none,SensitiveThreshold,0.35294117647058826,0.3333333333333333,0.6759259259259259,0.27215189873417733,6.0,11.0,151.0,12.0,131.0
9,85.58847077662129,IBk,none,none,SensitiveThreshold,0.2631578947368421,0.2777777777777778,0.6111111111111112,0.18674698795180697,5.0,14.0,148.0,13.0,144.0
9,85.58847077662129,NaiveBayes,none,none,SensitiveThreshold,0.0,0.0,0.6376886145404664,-0.010638297872339962,0.0,1.0,161.0,18.0,181.0
9,85.58847077662129,RandomForest,BestFirst(backward),SMOTE,none,0.3333333333333333,0.2222222222222222,0.7006172839506173,0.20289855072463756,4.0,8.0,154.0,14.0,148.0
9,85.58847077662129,IBk,BestFirst(backward),SMOTE,none,0.2222222222222222,0.2222222222222222,0.6071673525377229,0.13580246913580268,4.0,14.0,148.0,14.0,154.0
9,85.58847077662129,NaiveBayes,BestFirst(backward),SMOTE,none,0.6666666666666666,0.1111111111111111,0.6656378600823045,0.16666666666666635,2.0,1.0,161.0,16.0,161.0
9,85.58847077662129,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.2916666666666667,0.3888888888888889,0.6930727023319616,0.24731182795698922,7.0,17.0,145.0,11.0,127.0
9,85.58847077662129,IBk,BestFirst(backward),none,SensitiveThreshold,0.2777777777777778,0.2777777777777778,0.6133401920438958,0.19753086419753085,5.0,13.0,149.0,13.0,143.0
9,85.58847077662129,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.3333333333333333,0.16666666666666666,0.6575788751714677,0.16666666666666655,3.0,6.0,156.0,15.0,156.0
10,88.64059590316573,RandomForest,none,none,none,0.5,0.3076923076923077,0.903393665158371,0.3455295735900967,4.0,4.0,166.0,9.0,94.0
10,88.64059590316573,IBk,none,none,none,0.375,0.46153846153846156,0.9124434389140271,0.36393375587814336,6.0,10.0,160.0,7.0,80.0
10,88.64059590316573,NaiveBayes,none,none,none,0.3333333333333333,0.07692307692307693,0.7644796380090497,0.10105263157894752,1.0,2.0,168.0,12.0,122.0
10,88.64059590316573,RandomForest,BestFirst(backward),none,none,0.6,0.46153846153846156,0.9052036199095023,0.49025069637883056,6.0,4.0,166.0,7.0,74.0
10,88.64059590316573,IBk,BestFirst(backward),none,none,0.4,0.46153846153846156,0.9144796380090497,0.38149556400507006,6.0,9.0,161.0,7.0,79.0
10,88.64059590316573,NaiveBayes,BestFirst(backward),none,none,0.5,0.07692307692307693,0.7626696832579185,0.11659858893427422,1.0,1.0,169.0,12.0,121.0
