name,firstCommit,#Commits
src/java/org/apache/avro/ipc/DatagramServer.java,commit cad632eb6c894f77cdf40f8c458491aba9677852 1253745254 -----sp,1
src/java/org/apache/avro/ipc/DatagramTransceiver.java,commit cad632eb6c894f77cdf40f8c458491aba9677852 1253745254 -----sp,1
src/java/org/apache/avro/ipc/HttpServer.java,commit 844b081141f6e1e42231e9598c167cbf547af488 1255121567 -----sp,2
src/java/org/apache/avro/ipc/HttpTransceiver.java,commit bc9491c9dcea4035f3fd4733a2c0b649d08398ed 1255553215 -----sp,4
src/java/org/apache/avro/ipc/RPCContext.java,commit cad632eb6c894f77cdf40f8c458491aba9677852 1253745254 -----sp,1
src/java/org/apache/avro/ipc/RPCPlugin.java,commit cad632eb6c894f77cdf40f8c458491aba9677852 1253745254 -----sp,1
src/java/org/apache/avro/ipc/Requestor.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,2
src/java/org/apache/avro/ipc/Responder.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,2
src/java/org/apache/avro/ipc/ResponderServlet.java,commit 844b081141f6e1e42231e9598c167cbf547af488 1255121567 -----sp,1
src/java/org/apache/avro/ipc/Server.java,commit cad632eb6c894f77cdf40f8c458491aba9677852 1253745254 -----sp,1
src/java/org/apache/avro/ipc/SocketServer.java,commit cad632eb6c894f77cdf40f8c458491aba9677852 1253745254 -----sp,1
src/java/org/apache/avro/ipc/SocketTransceiver.java,commit cad632eb6c894f77cdf40f8c458491aba9677852 1253745254 -----sp,1
src/java/org/apache/avro/ipc/Transceiver.java,,0
src/java/org/apache/avro/reflect/FixedSize.java,,0
src/java/org/apache/avro/reflect/ReflectData.java,commit a7bfbd4b56d99655062c069e26ab6d476f5f06a0 1255546249 -----sp,2
src/java/org/apache/avro/reflect/ReflectDatumReader.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/reflect/ReflectDatumWriter.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/reflect/ReflectRequestor.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/reflect/ReflectResponder.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/specific/ProtocolTask.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/specific/SchemaTask.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/specific/SpecificCompiler.java,commit 2af1f70cdad4fb612bc22634ae183bd11e6e96e6 1255067763 -----sp,3
src/java/org/apache/avro/specific/SpecificData.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/specific/SpecificDatumReader.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/specific/SpecificDatumWriter.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/specific/SpecificExceptionBase.java,,0
src/java/org/apache/avro/specific/SpecificFixed.java,,0
src/java/org/apache/avro/specific/SpecificRecord.java,,0
src/java/org/apache/avro/specific/SpecificRecordBase.java,,0
src/java/org/apache/avro/specific/SpecificRequestor.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
